wallSec,fps,dtAvg,dtMax,simRatio,realRatio,fixedHz,fixedDt,maxDeltaTime,timeScale,targetFps,vSyncCount,time,focused,runInBackground
244.98,52,0.0194,0.0390,0.998,0.998,60.4,0.0167,1.0000,1.00,400,0,228.50,0,1
245.99,48,0.0209,0.0422,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,229.50,0,1
247.00,49,0.0206,0.0385,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,230.52,0,1
248.02,51,0.0199,0.0353,0.997,0.997,59.9,0.0167,1.0000,1.00,400,0,231.53,0,1
249.03,53,0.0192,0.0397,1.001,1.001,60.0,0.0167,1.0000,1.00,400,0,232.55,0,1
250.04,47,0.0214,0.0392,1.002,1.002,59.7,0.0167,1.0000,1.00,400,0,233.56,0,1
251.05,53,0.0191,0.0323,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,234.57,0,1
252.06,51,0.0199,0.0389,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,235.58,0,1
253.07,54,0.0186,0.0358,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,236.59,0,1
254.08,54,0.0188,0.0343,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,237.60,0,1
255.10,53,0.0191,0.0343,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,238.61,0,1
256.11,52,0.0195,0.0303,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,239.63,0,1
257.12,48,0.0211,0.0360,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,240.64,0,1
258.13,50,0.0203,0.0384,0.999,0.999,59.2,0.0167,1.0000,1.00,400,0,241.65,0,1
259.15,53,0.0192,0.0338,1.000,1.000,60.1,0.0167,1.0000,1.00,400,0,242.67,0,1
260.16,51,0.0198,0.0336,1.000,1.000,60.5,0.0167,1.0000,1.00,400,0,243.67,0,1
261.16,51,0.0196,0.0404,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,244.68,0,1
262.17,51,0.0199,0.0361,0.998,0.998,60.0,0.0167,1.0000,1.00,400,0,245.69,0,1
263.18,55,0.0183,0.0318,1.002,1.002,59.7,0.0167,1.0000,1.00,400,0,246.70,0,1
